variable	coef	HR	se	z	p_value	CI95_low	CI95_high	model
risk	2.88777021096137	17.9532330148039	0.306494072610842	9.4219447259197	4.42809331694739e-21	9.84587777087146	32.7363982353518	Univariate_risk
risk	3.24628139450366	25.6946139113587	0.317008729930881	10.2403533026093	1.30758001282662e-24	13.8039626715303	47.8278013179092	Multivariable
age	8.09701137573268e-05	1.00008097339193	2.38231744303288e-05	3.39879615935001	0.000676831401600932	1.00003427813736	1.00012767082686	Multivariable
genderMale	0.560655869043235	1.75182108881454	0.161375913991534	3.47422273358989	0.00051233555482511	1.27681014030184	2.40355008967103	Multivariable
stage_simpleStage II	0.197411836684676	1.21824565565905	0.156206839088435	1.26378484986124	0.206307260406854	0.896956474001751	1.65462039747677	Multivariable
stage_simpleStage III	0.542144897504955	1.71969147116373	0.17953349178121	3.01974240085323	0.00252989757458848	1.20957096166514	2.44494853937474	Multivariable
stage_simpleStage IV	1.22646810974523	3.40916744256556	0.42409511923556	2.89196468932716	0.00382840972004591	1.48476565248104	7.82778254065073	Multivariable
