threshold	model	treat_all	treat_none
0.05	0.275053304904051	0.275053304904051	0
0.06	0.267341106020052	0.267341106020052	0
0.07	0.259463053396611	0.259463053396611	0
0.08	0.249466950959488	0.251413738759618	0
0.09	0.241687949577075	0.243187516108625	0
0.1	0.233593935086472	0.234778488509832	0
0.11	0.225629477013009	0.226180493998706	0
0.12	0.21690250048459	0.217387090521419	0
0.13	0.210180623973727	0.208391539837757	0
0.14	0.201467744334804	0.199186790300987	0
0.15	0.196287470211965	0.189765458422175	0
0.16	0.187633262260128	0.180119809117677	0
0.17	0.180645824235107	0.170241734528733	0
0.18	0.174424047012325	0.160122731291279	0
0.19	0.16054647397931	0.149753876122035	0
0.2	0.146588486140725	0.139125799573561	0
0.21	0.135434941027233	0.128228657796011	0
0.22	0.134984418566508	0.117052102126729	0
0.23	0.130368565336582	0.105585246310193	0
0.24	0.119627426775895	0.093816631130064	0
0.25	0.112295664534471	0.0817341862117982	0
0.26	0.10563015040627	0.0693251887281738	0
0.27	0.0908958144697257	0.0565762187107515	0
0.28	0.0812603648424544	0.0434731106372898	0
0.29	0.0843869185260819	0.0300009009279558	0
0.3	0.0791958574474566	0.0161437709412123	0
0.31	0.075430301906616	0.00188498501282408	0
0.32	0.0753794054935407	-0.0127931769722814	0
0.33	0.0707761830506317	-0.0279094930464946	0
0.34	0.065451960974349	-0.0434838793047747	0
0.35	0.0629817943250779	-0.0595374774479251	0
0.36	0.0640991471215352	-0.076092750533049	0
0.37	0.0598368700714116	-0.0931735878430974	0
0.38	0.0541302703074489	-0.110805419905083	0
0.39	0.0504037191093712	-0.12901534482156	0
0.4	0.0504619758351102	-0.147832267235252	0
0.41	0.0482815944490622	-0.16728705142568	0
0.42	0.0472024115873833	-0.187412690243364	0
0.43	0.0486664422249654	-0.208244491826581	0
0.44	0.04629911666159	-0.229820286323485	0
0.45	0.0422562512114751	-0.25218065516573	0
0.46	0.0432756850667298	-0.275369185816947	0
0.47	0.0408737981252766	-0.299432755360663	0
0.48	0.0385435460062326	-0.324421846809906	0
0.49	0.0256281617124462	-0.350390902629708	0
0.5	0.0191897654584222	-0.377398720682303	0
0.51	0.0194943649101432	-0.405508898655411	0
0.52	0.029317697228145	-0.434790334044065	0
0.53	0.0287165993739509	-0.465317787959897	0
0.54	0.0282747751923612	-0.497172522480764	0
0.55	0.0213219616204691	-0.530443022980337	0
0.56	0.0160883892227176	-0.565225818957162	0
0.57	0.0157683344076957	-0.601626419398027	0
0.58	0.0177683013503909	-0.639760381764646	0
0.59	0.0147693587810078	-0.679754537417443	0
0.6	0.0138592750533049	-0.721748400852879	0
0.61	0.0131758788475206	-0.765895795746542	0
0.62	0.0159353607900348	-0.812366737739872	0
0.63	0.0153287615974183	-0.861349622543652	0
0.64	0.0142146410803127	-0.91305377872542	0
0.65	0.00944258300335059	-0.967712458117575	0
0.66	0.00464066223504327	-1.02558635394456	0
0.67	-0.00019383601473154	-1.08696775860955	0
0.68	-0.000799573560767593	-1.1521855010661	0
0.69	-0.00144439094848339	-1.22161083981017	0
0.7	0.00284292821606254	-1.2956645344705	0
0.71	0.0127931769722814	-1.37482538048673	0
0.72	0.0127931769722814	-1.45964057264697	0
0.73	0.0127931769722814	-1.55073837163389	0
0.74	0.0106609808102345	-1.64884369361981	0
0.75	0.00852878464818763	-1.75479744136461	0
0.76	0.00852878464818763	-1.86958066808813	0
0.77	0.00852878464818763	-1.99434504496153	0
0.78	0.00852878464818763	-2.13045163791432	0
0.79	0.00852878464818763	-2.27952076352929	0
0.8	0.00852878464818763	-2.44349680170576	0
0.81	0.00852878464818763	-2.62473347547974	0
0.82	0.00639658848614072	-2.82610755745084	0
0.83	0.00639658848614072	-3.05117270788913	0
0.84	0.00639658848614072	-3.3043710021322	0
0.85	0.00639658848614072	-3.59132906894101	0
0.86	0.00639658848614072	-3.91928114529394	0
0.87	0.00639658848614072	-4.29768738723963	0
0.88	0.00639658848614072	-4.73916133617627	0
0.89	0.00639658848614072	-5.26090327582865	0
0.9	0.00639658848614072	-5.88699360341151	0
0.91	0.00426439232409382	-6.65221511490168	0
0.92	0.00426439232409382	-7.6087420042644	0
0.93	0.00213219616204691	-8.83856229058788	0
0.94	0	-10.4783226723525	0
0.95	0	-12.773987206823	0
