model	n_patients	n_features	cindex	HR_high_vs_low	CI95_low	CI95_high	p_value
Original_model	450	3	0.631624729494632	1.93007817362544	1.44996285532814	2.56917047399967	6.60601037957988e-06
Cox_prefilter_model	469	50	0.648231447537898	2.42821744136595	1.81056669966394	3.25657151633696	3.14003720019818e-09
