group	predicted_risk	observed_event_rate	n
1	-0.216260510799534	0.234042553191489	94
2	-0.101706397391264	0.372340425531915	94
3	-0.0246329126346613	0.376344086021505	93
4	0.076054802629673	0.404255319148936	94
5	0.266282965933716	0.74468085106383	94
